code,status,url
CTIC8A7001,DOWNLOADED,https://scuolaninomartoglio.edu.it/allegati/all/3134-ptof-2018-2021.pdf
CEPS875001,NOT_FOUND,
RM1M074003,NOT_FOUND,
BGIS02300N,NOT_FOUND,
MBIC8AE00G,NOT_FOUND,
RCIS01100B,FAILED,https://ww2.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_agenzie_enti_stato/_istituto_nazionale_di_oceanografia_e_di_geofisica_sperimentale/010_dis_gen/020_att_gen/2016/0005_Documenti_1460038782933/1510648877411_pta_concopertinaallegati_2017-2019.pdf
SAIS00600E,DOWNLOADED,https://www.iisgiovanni23.edu.it/wp-content/uploads/2024/09/circolare_8222_26_09_2024_progetti-ptof.pdf
MOIS00200C,DOWNLOADED,https://www.istitutolevi.edu.it/allegati/182/PTOF+DEFINITIVO.pdf
RGRH020005,NOT_FOUND,
MIRC300004,NOT_FOUND,
MIIC836006,DOWNLOADED,https://www.liceodonmilani.it/wp-content/uploads/2024/11/DON-MILANI-INTEGRAZIONE-PTOF-studente-atleta-22_25.pdf
FEIC808004,NOT_FOUND,
BGPS02000G,DOWNLOADED,https://www.liceolussana.edu.it/wp-content/uploads/2023/04/PTOF_Lussana_22_25.pdf
BLIS011002,DOWNLOADED,https://segatobrustolon.edu.it/wp-content/uploads/2025/05/Documento-del-15-maggio-2025-5AIA.pdf
BS1M026002,FAILED,https://www.asst-garda.it/wp-content/uploads/2021/06/Documento-Validazione-Relazione-2020-Glifo.pdf
ALTF01000R,NOT_FOUND,
PSIC83500A,NOT_FOUND,
GEIC860009,FAILED,https://www.conspaganini.it/sites/default/files/upload/doc/Convenzioni/Convenzione+Conservatorio+Paganini+-+IC+Sturla.pdf
MIIS01900L,NOT_FOUND,
CEPS01000C,NOT_FOUND,
